time,river_level (m)
2022-10-30 11:26:32+00:00,1.305
2022-10-30 12:26:38+00:00,1.305
2022-10-30 13:26:31+00:00,1.305
2022-10-30 14:26:34+00:00,1.305
2022-10-30 15:26:31+00:00,1.305
2022-10-30 16:26:34+00:00,1.305
2022-10-30 17:26:33+00:00,1.305
2022-10-30 18:26:29+00:00,1.305
2022-10-30 19:26:31+00:00,1.305
2022-10-30 20:26:35+00:00,1.305
2022-10-30 21:26:32+00:00,1.305
2022-10-30 22:26:33+00:00,1.305
2022-10-30 23:26:35+00:00,1.305
2022-10-31 00:26:34+00:00,1.305
2022-10-31 01:26:34+00:00,1.305
2022-10-31 02:26:32+00:00,1.305
2022-10-31 03:26:28+00:00,1.305
2022-10-31 04:26:35+00:00,1.305
2022-10-31 05:26:36+00:00,1.305
2022-10-31 06:26:37+00:00,1.305
2022-10-31 07:26:33+00:00,1.305
2022-10-31 08:26:39+00:00,1.305
2022-10-31 09:26:50+00:00,1.305
2022-10-31 10:26:36+00:00,1.305
2022-10-31 11:26:33+00:00,1.305
2022-10-31 12:26:32+00:00,1.305
2022-10-31 13:26:38+00:00,1.305
2022-10-31 14:26:32+00:00,1.305
2022-10-31 15:26:36+00:00,1.305
2022-10-31 16:26:36+00:00,1.305
2022-10-31 17:26:40+00:00,1.305
2022-10-31 18:26:37+00:00,1.305
2022-10-31 19:26:37+00:00,1.305
2022-10-31 20:26:55+00:00,1.305
2022-10-31 21:26:38+00:00,1.305
2022-10-31 22:26:37+00:00,1.305
2022-10-31 23:26:35+00:00,1.305
2022-11-01 00:26:38+00:00,1.305
2022-11-01 01:26:37+00:00,1.305
2022-11-01 02:26:38+00:00,1.305
2022-11-01 03:26:33+00:00,1.305
2022-11-01 04:27:18+00:00,1.305
2022-11-01 05:28:02+00:00,1.305
2022-11-01 06:28:33+00:00,1.305
2022-11-01 07:28:33+00:00,1.305
2022-11-01 08:28:37+00:00,1.305
2022-11-01 09:28:31+00:00,1.305
2022-11-01 10:28:40+00:00,1.305
2022-11-01 11:28:40+00:00,1.305
2022-11-01 12:28:37+00:00,1.305
2022-11-01 13:28:36+00:00,1.305
2022-11-01 14:28:39+00:00,1.305
2022-11-01 15:28:39+00:00,1.305
2022-11-01 16:28:40+00:00,1.305
2022-11-01 17:28:38+00:00,1.855
2022-11-01 18:28:37+00:00,1.305
2022-11-01 19:28:38+00:00,1.305
2022-11-01 20:28:37+00:00,1.305
2022-11-01 21:28:39+00:00,1.305
2022-11-01 22:28:39+00:00,1.305
2022-11-01 23:28:38+00:00,1.305
2022-11-02 00:28:39+00:00,1.305
2022-11-02 01:28:39+00:00,1.305
2022-11-02 02:28:40+00:00,1.305
2022-11-02 03:28:41+00:00,1.305
2022-11-02 04:28:38+00:00,1.305
2022-11-02 05:28:38+00:00,1.305
2022-11-02 06:28:40+00:00,1.305
2022-11-02 07:28:37+00:00,1.305
2022-11-02 08:28:38+00:00,1.305
2022-11-02 09:28:37+00:00,1.305
2022-11-02 10:28:36+00:00,1.305
2022-11-02 11:28:38+00:00,1.305
2022-11-02 12:28:36+00:00,1.305
2022-11-02 13:28:42+00:00,1.305
2022-11-02 14:28:40+00:00,1.305
2022-11-02 15:28:38+00:00,1.305
2022-11-02 16:28:36+00:00,1.305
2022-11-02 17:28:36+00:00,1.305
2022-11-02 18:28:38+00:00,1.305
2022-11-02 19:28:36+00:00,1.305
2022-11-02 20:28:37+00:00,1.305
2022-11-02 21:28:39+00:00,1.305
2022-11-02 22:28:39+00:00,1.305
2022-11-02 23:28:38+00:00,1.305
2022-11-03 00:28:41+00:00,1.305
2022-11-03 01:28:39+00:00,1.305
2022-11-03 02:28:41+00:00,1.305
2022-11-03 03:28:54+00:00,1.305
2022-11-03 04:28:40+00:00,1.305
2022-11-03 05:28:40+00:00,1.305
2022-11-03 06:28:39+00:00,1.305
2022-11-03 07:28:40+00:00,1.305
2022-11-03 08:28:39+00:00,1.305
2022-11-03 09:28:41+00:00,1.305
2022-11-03 10:28:40+00:00,1.305
2022-11-03 11:28:39+00:00,1.305
2022-11-03 12:28:40+00:00,1.305
2022-11-03 13:28:40+00:00,1.305
2022-11-03 14:28:40+00:00,1.305
2022-11-03 15:28:46+00:00,1.305
2022-11-03 16:28:39+00:00,1.305
2022-11-03 17:28:38+00:00,1.305
2022-11-03 18:28:39+00:00,1.305
2022-11-03 19:28:40+00:00,1.305
2022-11-03 20:28:43+00:00,1.305
2022-11-03 21:28:38+00:00,1.305
2022-11-03 22:28:42+00:00,1.305
2022-11-03 23:28:45+00:00,1.305
2022-11-04 00:28:44+00:00,1.305
2022-11-04 01:28:40+00:00,1.305
2022-11-04 02:28:42+00:00,1.305
2022-11-04 03:28:38+00:00,1.305
